timestamp,age,faculty,study_program,study_year,phone_brand,phone_model,phone_price,purchase_year,phone_age,replacement_plan,replacement_reason,disposal_plan,prev_phone_replacement_reason,prev_phone_disposal,additional_info
2025/11/04 1:17:29 pop. GMT +1,24,Faculty of Mathematics and Physics,,,,,,,,,,,,,
2025/11/04 1:25:03 pop. GMT +1,19,Faculty of Mathematics and Physics,University Study Program PHYSICS,1st year,Google,Google Pixel 7a,Up to €200,2025.0,0.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Not sure yet,menjava OS na varnejšega,Sold it,
2025/11/04 1:30:08 pop. GMT +1,22,Faculty of Mathematics and Physics,University Study Program PHYSICS,končujem 3.letnik,Samsung,Samsung Galaxy A54,I don’t know / received it as a gift,2023.0,2.0,I don’t plan to replace it as long as it works,Poor battery performance,Not sure yet,Dobila kot darilo nov telefon.,Kept it as a backup phone,
2025/11/04 1:52:08 pop. GMT +1,20,Faculty of Mathematics and Physics,University Study Program PHYSICS,2nd year,Samsung,Galaxy S22,I don’t know / received it as a gift,2023.0,2.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Keep it as a backup phone,"Določene aplikacije so prenehala delovati, ker je bil prestar operacijski sistem in ni imel več posodobitev",Kept it as a backup phone,
2025/11/04 1:53:39 pop. GMT +1,23,Faculty of Electrical Engineering and Computer Science,Computer and Information Technologies,,Samsung,A56 5G,€200–400,2025.0,0.0,In 4 years,Slow or outdated performance,Keep it as a backup phone,It broke down,Kept it as a backup phone,
2025/11/04 2:03:39 pop. GMT +1,23,Faculty of Mathematics and Physics,,2nd year,Xiaomi,Redmi note 12 pro,€200–400,2023.0,2.0,In 2 years,Slow or outdated performance,Keep it as a backup phone,Poor battery performance,Kept it as a backup phone,
2025/11/04 2:06:05 pop. GMT +1,26,Faculty of Mathematics and Physics,Interdisciplinary Master’s Study Program COMPUTER SCIENCE AND MATHEMATICS,2nd year,Samsung,Galaxy S21,I don’t know / received it as a gift,2022.0,3.0,I don’t plan to replace it as long as it works,Če bo popolnoma nehal delovati.,Recycle / take to collection center,Ker je slabo deloval in sem dobila novega za darilo.,Gave it away,
2025/11/04 2:09:27 pop. GMT +1,21,Faculty of Mathematics and Physics,University Study Program PHYSICS,3rd year,Samsung,,,,,,,,,,
2025/11/04 2:17:46 pop. GMT +1,19,Faculty of Mathematics and Physics,University Study Program PHYSICS,1st year,Samsung,S22,Over €800,2022.0,3.0,I don’t plan to replace it as long as it works,Damage,Recycle / take to collection center,It broke down,Discarded it,
2025/11/04 2:24:27 pop. GMT +1,19,Faculty of Mathematics and Physics,University Study Program MATHEMATICS,1st year,Samsung,Galaxy A33 5G,€200–400,2023.0,2.0,In 2 years,I want a newer model,Not sure yet,Poor battery performance,I don’t know,
2025/11/04 2:29:44 pop. GMT +1,25,Faculty of Mathematics and Physics,Master’s Study Program MATHEMATICS,1st year postgraduate,Apple,13 mini,€600–800,2022.0,3.0,I don’t plan to replace it as long as it works,"Upam da zdrži čim dlje, nočem velikega primarnega telefona","Kakšna domača naprava, mogoče imessage server ali kamera ipd",želel sem si manjšega + počasno delovanje,Gave it away,Najverjetneje bom menjal baterijo preden tega zamenjam
2025/11/04 2:30:15 pop. GMT +1,23,Faculty of Electrical Engineering and Computer Science,Computer and Information Technologies,3rd year,Samsung,A52s,€200–400,2022.0,3.0,In the next 6 months,Damage,Keep it as a backup phone,Počasno delovanje,Kept it as a backup phone,
2025/11/04 2:33:12 pop. GMT +1,22,Faculty of Mathematics and Physics,University Study Program PHYSICS,3rd year,Apple,Iphone 12 mini,Up to €200,2023.0,2.0,In the next 6 months,"Slaba baterija, nedelujoč zvočnik, počasno delovanje, napaka pri polnjenju",Sell it,"Damage - screen, water, etc.",Discarded it,"Naročil sem novo baterijo za telefon, tako da jo bom zamenjal kot zadnje upanje za telefon:)"
2025/11/04 2:40:23 pop. GMT +1,23,Faculty of Mathematics and Physics,Higher Professional Study Program APPLIED PHYSICS (formerly Physical Measurement Technology,3rd year,Samsung,Galaxy A52s,€400–600,2021.0,4.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Not sure yet,Poor battery performance,Kept it as a backup phone,
2025/11/04 2:46:57 pop. GMT +1,21,Faculty of Mathematics and Physics,University Study Program PHYSICS,3rd year,Samsung,/,€200–400,2022.0,3.0,I don’t plan to replace it as long as it works,Poor battery performance,Keep it as a backup phone,It broke down,I don’t know,
2025/11/04 2:51:01 pop. GMT +1,23,Faculty of Electrical Engineering and Computer Science,Computer and Information Technologies,2nd year postgraduate,Samsung,Galaxy A34 5G,I don’t know / received it as a gift,2024.0,1.0,I don’t plan to replace it as long as it works,Idk,Not sure yet,Wanted a newer model,Kept it as a backup phone,
2025/11/04 2:53:58 pop. GMT +1,23,Faculty of Electrical Engineering and Computer Science,Computer and Information Technologies,2nd year postgraduate,Google,Google Pixel 6 Pro,€400–600,2023.0,2.0,In 3 years,I want a newer model,Give it to a family member/friend,Prejšnji telefon ni bil dovolj zmogljiv in ponujal željenih funkcionalnosti,Gave it away,
2025/11/04 3:04:02 pop. GMT +1,20,Faculty of Mathematics and Physics,University Study Program PHYSICS,2nd year,Samsung,A35,Up to €200,2024.0,1.0,I don’t plan to replace it as long as it works,Damage,Not sure yet,It broke down,Kept it as a backup phone,
2025/11/04 3:04:31 pop. GMT +1,23,Faculty of Mathematics and Physics,Master’s Study Program MATHEMATICS,2nd year postgraduate,Xiaomi,POCO X5 Pro,€200–400,2021.0,4.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Keep it as a backup phone,"Damage - screen, water, etc.",Kept it as a backup phone,
2025/11/04 3:05:47 pop. GMT +1,21,Faculty of Mathematics and Physics,University Study Program PHYSICS,,Apple,Iphone 13 pro,I don’t know / received it as a gift,2023.0,2.0,I don’t plan to replace it as long as it works,Nimam namena,Not sure yet,Podedoval novega,Kept it as a backup phone,
2025/11/04 3:11:01 pop. GMT +1,21,Faculty of Mathematics and Physics,University Study Program PHYSICS,,Samsung,Galaxy A33,€200–400,2022.0,3.0,In the next year,Poor battery performance,Give it to a family member/friend,"Damage - screen, water, etc.",Kept it as a backup phone,
2025/11/04 3:12:11 pop. GMT +1,20,Faculty of Mathematics and Physics,University Study Program PHYSICS,2nd year,Apple,iPhone 15 Pro,Over €800,2023.0,2.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Keep it as a backup phone,It broke down,Kept it as a backup phone,
2025/11/04 3:13:01 pop. GMT +1,20,Faculty of Mathematics and Physics,University Study Program PHYSICS,2nd year,Apple,Iphone 12 mini,I don’t know / received it as a gift,2021.0,4.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Keep it as a backup phone,Poor battery performance,Kept it as a backup phone,
2025/11/04 3:15:14 pop. GMT +1,23,Faculty of Electrical Engineering and Computer Science,Computer and Information Technologies,2nd year postgraduate,Apple,iPhone16 Pro,Over €800,2024.0,1.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Give it to a family member/friend,Poor battery performance,Kept it as a backup phone,
2025/11/04 3:58:16 pop. GMT +1,22,Faculty of Mathematics and Physics,University Study Program PHYSICS,,Apple,iPhone 13 Mini,Over €800,2023.0,2.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Sell it,Poor battery performance,Sold it,
2025/11/04 4:03:03 pop. GMT +1,24,Faculty of Electrical Engineering and Computer Science,Computer and Information Technologies,2nd year postgraduate,Samsung,S22,Over €800,2023.0,2.0,In 2 years,Poor battery performance,Keep it as a backup phone,Wanted a newer model,Kept it as a backup phone,
2025/11/04 4:03:50 pop. GMT +1,23,Faculty of Electrical Engineering and Computer Science,Computer and Information Technologies,2nd year postgraduate,Apple,iPhone 16 Pro,Over €800,2025.0,0.0,In 5 years,Slow or outdated performance,Give it to a family member/friend,Wanted a newer model,Gave it away,
2025/11/04 4:15:21 pop. GMT +1,23,Faculty of Electrical Engineering and Computer Science,Computer and Information Technologies,2nd year postgraduate,Apple,11 Pro,Over €800,2019.0,6.0,In the next 6 months,Slow or outdated performance,Not sure yet,"Damage - screen, water, etc.",Kept it as a backup phone,
2025/11/04 4:15:23 pop. GMT +1,21,Faculty of Electrical Engineering and Computer Science,Computer and Information Technologies,2nd year postgraduate,Apple,13,Over €800,2023.0,2.0,I don’t plan to replace it as long as it works,Poor battery performance,Not sure yet,It broke down,Discarded it,
2025/11/04 4:18:38 pop. GMT +1,22,Faculty of Computer and Information Science,"Computer Science and Mathematics, interdisciplinary master’s program",1st year postgraduate,Apple,iPhone 11,I don’t know / received it as a gift,2019.0,6.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Not sure yet,Dobil sem trenutni telefon zastojn,Kept it as a backup phone,
2025/11/04 4:42:54 pop. GMT +1,22,Faculty of Mathematics and Physics,University Study Program PHYSICS,3rd year,Apple,Se 2020 ,€400–600,2021.0,4.0,I don’t plan to replace it as long as it works,Damage,Recycle / take to collection center,"Damage - screen, water, etc.",Kept it as a backup phone,
2025/11/04 4:49:00 pop. GMT +1,19,Faculty of Mathematics and Physics,University Study Program PHYSICS,2nd year,Xiaomi,Mi 10,I don’t know / received it as a gift,2020.0,5.0,I don’t plan to replace it as long as it works,Damage,Not sure yet,Wanted a newer model,I don’t know,
2025/11/04 4:54:34 pop. GMT +1,23,Faculty of Mathematics and Physics,University Study Program PHYSICS,2nd year,Xiaomi,redmi 14,I don’t know / received it as a gift,2024.0,1.0,I don’t plan to replace it as long as it works,Slow or outdated performance,Keep it as a backup phone,"Damage - screen, water, etc.",Kept it as a backup phone,
